FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
970519;0000;3;;;
970519;0100;3;;;
970519;0200;5;;;
970519;0300;5;;;
970519;0400;3;;;
970519;0500;3;;;
970519;0600;3;;;
970519;0700;2;;;
970519;0800;3;;;
970519;0900;7;;;
970519;1000;21;;;
970519;1100;25;;;
970519;1200;27;;;
970519;1300;25;;;
970519;1400;35;;;
970519;1500;21;;;
970519;1600;10;;;
970519;1700;4;;;
970519;1800;1;;;
970519;1900;2;;;
970519;2000;4;;;
970519;2100;2;;;
970519;2200;1;;;
970519;2300;1;;;
970520;0000;1;;;
970520;0100;1;;;
970520;0200;1;;;
970520;0300;1;;;
970520;0400;1;;;
970520;0500;1;;;
970520;0600;1;;;
970520;0700;1;;;
970520;0800;2;;;
970520;0900;2;;;
970520;1000;2;;;
970520;1100;2;;;
970520;1200;4;;;
970520;1300;4;;;
970520;1400;4;;;
970520;1500;8;;;
970520;1600;17;;;
970520;1700;;;;
970520;1800;1;;;
970520;1900;2;;;
970520;2000;7;;;
970520;2100;3;;;
970520;2200;1;;;
970520;2300;4;;;
970521;0000;7;;;
970521;0100;19;;;
970521;0200;23;;;
970521;0300;22;;;
970521;0400;24;;;
970521;0500;20;;;
970521;0600;18;;;
970521;0700;9;;;
970521;0800;8;;;
970521;0900;14;;;
970521;1000;19;;;
970521;1100;25;;;
970521;1200;30;;;
970521;1300;34;;;
970521;1400;37;;;
970521;1500;42;;;
970521;1600;32;;;
970521;1700;4;;;
970521;1800;3;;;
970521;1900;4;;;
970521;2000;4;;;
970521;2100;2;;;
970521;2200;2;;;
970521;2300;2;;;
970522;0000;2;;;
970522;0100;3;;;
970522;0200;4;;;
970522;0300;6;;;
970522;0400;4;;;
970522;0500;3;;;
970522;0600;4;;;
970522;0700;2;;;
970522;0800;4;;;
970522;0900;7;;;
970522;1000;13;;;
970522;1100;24;;;
970522;1200;31;;;
970522;1300;46;;;
970522;1400;65;;;
970522;1500;49;;;
970522;1600;18;;;
970522;1700;5;;;
970522;1800;5;;;
970522;1900;5;;;
970522;2000;6;;;
970522;2100;2;;;
970522;2200;2;;;
970522;2300;2;;;
970523;0000;7;;;
970523;0100;7;;;
970523;0200;9;;;
970523;0300;11;;;
970523;0400;8;;;
970523;0500;8;;;
970523;0600;7;;;
970523;0700;3;;;
970523;0800;4;;;
970523;0900;7;;;
970523;1000;6;;;
970523;1100;16;;;
970523;1200;30;;;
970523;1300;42;;;
970523;1400;34;;;
970523;1500;30;;;
970523;1600;18;;;
970523;1700;9;;;
970523;1800;2;;;
970523;1900;4;;;
970523;2000;5;;;
970523;2100;3;;;
970523;2200;3;;;
970523;2300;2;;;
970524;0000;2;;;
970524;0100;1;;;
